Date,Open,High,Low,Close,Volume
2023-01-01,149.78902878198602,152.31277376090316,148.58451693984645,150.49671415301123,161629
2023-01-02,150.14812719045736,151.96960277847137,149.2792958951389,150.35844985184005,428184
2023-01-03,150.83478113167735,152.55166200143364,149.06435254420487,151.00613838994073,592734
2023-01-04,152.12802961173796,154.08289437232943,150.67114228341467,152.52916824634877,855195
2023-01-05,152.21437201579243,153.33425159845507,151.50132816944148,152.29501487162543,390160
2023-01-06,152.2629033430835,153.001265681073,151.4568359633635,152.06087791467624,648248
2023-01-07,154.5831836807889,155.3541324634014,152.9889237281175,153.64009073018363,920023
2023-01-08,154.49481436575246,156.12269555135532,153.8801927208592,154.40752545933654,313920
2023-01-09,154.06682626876298,155.73865955127175,153.2963866322677,153.9380510734016,989765
2023-01-10,154.4433881591045,156.35047194582228,152.95610095686305,154.48061111698757,342804
2023-01-11,153.05780781652558,155.28420702246652,153.41041045148475,154.0171934241751,476965
2023-01-12,153.53820673288024,154.80373811263564,152.5730002251642,153.55146367060485,560857
2023-01-13,153.8235410471414,155.49086871062104,152.0261129757167,153.79342594217087,922827
2023-01-14,153.11176675375572,153.35509159367973,151.34523779390935,151.8801456975131,604492
2023-01-15,150.0590473826095,151.70817818088662,148.43352514111666,150.15522786500006,753983
2023-01-16,149.74371400692587,151.28662933991322,148.67015817359896,149.59294033575907,515916
2023-01-17,148.562753330572,150.415117228151,147.90286197399215,148.58010921542464,921052
2023-01-18,148.31001752921014,149.9013492832972,147.34925079997367,148.8943565480199,858574
2023-01-19,148.5577438797562,149.04970690145862,146.54291820232888,147.9863324724987,228148
2023-01-20,146.94999528750682,147.21500168092473,144.75782075087284,146.57402877116343,906991
2023-01-21,148.4351935136065,149.40709775157922,146.43707097437914,148.03967754008497,586261
2023-01-22,147.35920751220107,148.36781465029355,146.10867984402117,147.81390123959844,455540
2023-01-23,148.5828265997544,149.07982647148506,146.95837758542942,147.88142944428637,292714
2023-01-24,145.75575572667677,147.77064821013428,145.6905219424033,146.4566812580729,831899
2023-01-25,146.20572708044787,146.84211041174015,144.28637640608645,145.91229853354773,383876
2023-01-26,147.1184489361626,147.40947101411112,144.3129690143567,146.0232211232576,359747
2023-01-27,144.37695938326996,145.41797792074388,142.88646983283428,144.8722275458353,715650
2023-01-28,144.96477669937957,145.80394784730476,144.1289990488138,145.24792556418095,523570
2023-01-29,144.697112556806,146.38118771525166,143.589259745573,144.64728687426216,375987
2023-01-30,144.10385529741077,145.39587908658575,142.69097368335588,144.35559312446887,738353
2023-01-31,142.97855479670642,144.4444772812173,142.74268120185997,143.7538865122395,958158
2023-02-01,145.64044618415141,146.8895295868306,143.71002870834306,145.6061646967484,117640
2023-02-02,145.0615156151474,147.2476578016584,143.80504834424596,145.59266747201048,152528
2023-02-03,144.77175275837217,145.35868808429984,143.39146550199206,144.5349565430546,924845
2023-02-04,144.89778933804087,146.79183716888627,143.73119485347053,145.35750145515777,359214
2023-02-05,144.91162500769553,144.7646790026774,142.50484349405974,144.13665780518676,939070
2023-02-06,143.9538947540234,144.9230439819444,143.6908355969376,144.3455214001915,601108
2023-02-07,142.2248205182089,143.68288322366396,140.5320219162924,142.38585127631174,734421
2023-02-08,141.46442383609815,142.36861790982846,139.79978666874152,141.0576652274133,468501
2023-02-09,140.63909430506544,142.71067131552974,139.5148402641208,141.25452646328242,824226
2023-02-10,142.1067230105799,143.58213004386184,141.01291864173191,141.99299304327783,250159
2023-02-11,142.81793270160904,144.1281394436616,140.3210764817235,142.16436132446782,272502
2023-02-12,141.24497142479893,143.32316356453134,140.96491052397832,142.04871304207956,255576
2023-02-13,141.83992627575643,142.73204405590212,141.2313528692698,141.74760934649026,965291
2023-02-14,140.39902875324705,141.9618666482759,138.41101439149395,140.26908735612284,986089
2023-02-15,139.9401545836168,140.45549152462124,138.91231313254895,139.54924314772813,111023
2023-02-16,138.4701290213293,140.2470615078268,138.10963392038275,139.08860437676836,645735
2023-02-17,139.48549829644514,140.76341117500067,138.22063365241107,140.14572660298728,488043
2023-02-18,140.75031567536416,141.0273710076789,138.56343417214939,140.48934489255572,386103
2023-02-19,138.8747970738096,140.6702773592099,137.36614790500806,138.726304737193,166203
2023-02-20,139.17563513176074,140.8043588873561,137.6026328883331,139.0503887065878,260775
2023-02-21,138.83853053091997,140.209267735312,137.49263814320398,138.66530642617147,109337
2023-02-22,137.64837206507627,139.10181384248693,137.04856826831843,137.98838442586552,670715
2023-02-23,138.7161875632869,139.36000219481267,137.6070638966515,138.6000607147064,614723
2023-02-24,139.7775964738517,140.36571580120898,138.1222825530868,139.63106023720235,423673
2023-02-25,140.20516464730537,141.43770470356543,138.93377856216202,140.56234035631854,464167
2023-02-26,140.65601008866827,141.04696283015505,138.03575426750712,139.72312283309589,446809
2023-02-27,139.65082691770056,140.98580434129477,137.72948324305284,139.41391045724467,730075
2023-02-28,139.14952214004694,141.23546995372485,139.10836473407522,139.74517388864825,787281
2023-03-01,141.04899582008753,141.64061986118952,139.47908855871674,140.7207190157706,395451
2023-03-02,139.75420394281164,142.17384269892008,139.65520663790033,140.2415447779253,520571
2023-03-03,140.44942810313273,141.66273117630516,138.7315924777759,140.0558858012615,227016
2023-03-04,139.52884861675918,140.2810819060226,137.78725507519542,138.94955082725548,891267
2023-03-05,137.34300304399895,139.17092532252633,135.92178792903735,137.7533442031748,644447
2023-03-06,139.04755809019113,139.69527011921068,137.53949750674087,138.56587002556898,597562
2023-03-07,140.12850051760805,140.79370653839155,139.2465095294984,139.9221100541398,802965
2023-03-08,140.26113001255672,140.88405895053637,139.13561240948025,139.8500999325595,483934
2023-03-09,141.8020293217785,142.49040199614808,139.2113668828753,140.85363283045152,992048
2023-03-10,141.09257479749772,141.7368590884438,139.78794176052475,141.21526885549915,965184
2023-03-11,140.19328101871528,141.2442580616544,139.91846508670983,140.570149100894,417428
2023-03-12,140.48678749158967,141.50054866943506,140.30538449722994,140.93154470640243,419187
2023-03-13,142.06167613038568,143.03067447634686,140.9181275756797,142.4695812728684,790907
2023-03-14,142.39520437905142,144.21694610977497,141.82461072421216,142.43375523375846,983439
2023-03-15,144.16897487698077,145.5538856786425,142.26560880063693,143.99839888957246,182844
2023-03-16,141.5169991851477,142.58991452911368,139.81929044474796,141.3786537854827,651820
2023-03-17,142.61414791437593,142.84730753083443,141.57853311889508,142.20055628985793,265421
2023-03-18,142.29410430403507,143.52502717077135,141.66034678696832,142.2876033580961,222402
2023-03-19,142.7153630462089,143.19880366380107,140.00863663987846,141.98859600763024,218012
2023-03-20,141.94802836754675,142.84015958903075,141.01895059053155,142.08035678416573,538661
2023-03-21,141.45287245285968,141.2435653434218,139.0368246489645,140.09278786956486,498929
2023-03-22,140.18594965560982,140.9708730833234,138.15391663084108,139.87311598172732,680466
2023-03-23,139.80164977503094,141.6540037003174,138.30935568716328,140.23022855323907,673695
2023-03-24,141.17267634895006,143.16076307428207,139.7291210022463,141.7081225979806,563556
2023-03-25,141.43108858732856,141.75780839436504,139.55978510181856,141.18985237970696,675278
2023-03-26,140.26962738415082,141.44327769875346,139.3169693985174,140.38135877681376,229473
2023-03-27,140.23660198027528,141.3183916068006,139.25435065818124,139.87960173322924,578007
2023-03-28,141.03162266321806,142.04970823880143,139.12928347704013,140.7950038509313,944573
2023-03-29,141.08734050426256,142.90848972237347,139.7861485859873,141.123754960591,517009
2023-03-30,140.17059789778975,142.08203520425235,139.4576617429535,140.59399475682395,418714
2023-03-31,140.34983857759437,141.85166383055946,139.2477306122952,141.1072621899373,326156
2023-04-01,140.9810822632518,141.81019286038597,140.53754351582612,141.20433973928533,268964
2023-04-02,142.60118412697997,143.63661364712772,140.93404707338195,142.17298472981824,625303
2023-04-03,141.57797850800597,142.0106986017533,140.95390116878974,141.47093163594087,161813
2023-04-04,140.5204000999871,142.5219328612533,139.94027852635193,141.1432694893431,127712
2023-04-05,140.83775179913653,142.66150669834838,140.16670642268818,140.75116133621094,724785
2023-04-06,139.48030507794326,140.65085765489263,138.60941951367673,139.28764638807883,867214
